utc,julian_date_ut,tle_record_index,tle_epoch_utc,tle_age_days,goes18_teme_x_km,goes18_teme_y_km,goes18_teme_z_km,goes18_teme_vx_km_s,goes18_teme_vy_km_s,goes18_teme_vz_km_s,goes18_gcrs_x_km,goes18_gcrs_y_km,goes18_gcrs_z_km,earth_from_goes_x_km,earth_from_goes_y_km,earth_from_goes_z_km,moon_from_goes_x_km,moon_from_goes_y_km,moon_from_goes_z_km,sun_from_goes_x_km,sun_from_goes_y_km,sun_from_goes_z_km
2026-01-01T00:50:00Z,2461041.534722222,34,2026-01-01T03:37:34Z,-0.116374128,38572.663402897,-17023.351797105,0.489961753,1.241600358,2.813061373,-0.000052114,38472.908048847,-17247.344452187,-96.562176116,-38472.908048847,17247.344452187,96.562176116,102768.606409681,308017.448962212,160790.183466679,26110470.264348131,-132801657.573877126,-57574254.004181884
2026-01-01T00:55:00Z,2461041.538194444,34,2026-01-01T03:37:34Z,-0.112901906,38935.881110707,-16175.429108355,0.481775884,1.179764108,2.839547347,-0.000053625,38841.048548219,-16401.548106740,-97.531101936,-38841.048548219,16401.548106740,97.531101936,102097.955781045,307284.426733388,160841.576496303,26119037.903133091,-132801013.535779774,-57573607.250608921
2026-01-01T01:00:00Z,2461041.541666667,34,2026-01-01T03:37:34Z,-0.109429684,39280.462573338,-15319.764221277,0.472934739,1.117363309,2.864674147,-0.000055133,39190.598195550,-15547.901335054,-98.453770658,-39190.598195550,15547.901335054,98.453770658,101445.786154051,306543.331403489,160892.799859001,26127624.033308294,-132800376.852488264,-57572960.328776814
2026-01-01T01:05:00Z,2461041.545138889,34,2026-01-01T03:37:34Z,-0.105957461,39606.242901090,-14456.766706606,0.463435963,1.054427835,2.888429750,-0.000056638,39521.389723096,-14686.812742069,-99.329747258,-39521.389723096,14686.812742069,99.329747258,100812.265013585,305794.571481053,160943.853075803,26136228.822093695,-132799747.115406662,-57572313.239124507
2026-01-01T01:10:00Z,2461041.548611111,34,2026-01-01T03:37:34Z,-0.102485239,39913.066205398,-13586.849643526,0.453277686,0.990987817,2.910802790,-0.000058139,39833.264843664,-13818.694493451,-100.158618895,-39833.264843664,13818.694493451,100.158618895,100197.550889581,305038.559038666,160994.735691359,26144852.427762274,-132799123.912374005,-57571665.982066937
2026-01-01T01:15:00Z,2461041.552083333,34,2026-01-01T03:37:34Z,-0.099013017,40200.785673399,-12710.429421826,0.442458530,0.927073627,2.931782564,-0.000059633,40126.074326327,-12943.962118188,-100.939995105,-40126.074326327,12943.962118188,100.939995105,99601.793234844,304275.709509393,161045.447271526,26153494.999502394,-132798506.827868849,-57571018.557997860
2026-01-01T01:20:00Z,2461041.555555556,34,2026-01-01T03:37:34Z,-0.095540795,40469.263638153,-11827.925542475,0.430977605,0.862715864,2.951359034,-0.000061120,40399.678067806,-12063.034309570,-101.673507986,-40399.678067806,12063.034309570,101.673507986,99025.132378344,303506.441492066,161095.987405337,26162156.677385621,-132797895.443205997,-57570370.967288680
2026-01-01T01:25:00Z,2461041.559027778,34,2026-01-01T03:37:34Z,-0.092068572,40718.371644477,-10939.760416708,0.418834520,0.797945338,2.969522836,-0.000062597,40653.945159473,-11176.332724657,-102.358812372,-40653.945159473,11176.332724657,102.358812372,98467.699467950,302731.176551128,161146.355705458,26170837.592298884,-132797289.336732805,-57569723.210286565
2026-01-01T01:30:00Z,2461041.562500000,34,2026-01-01T03:37:34Z,-0.088596350,40947.990510368,-10046.359163720,0.406029382,0.732793058,2.986265283,-0.000064064,40888.753949940,-10284.281782364,-102.995585997,-40888.753949940,10284.281782364,102.995585997,97929.616385213,301950.339012048,161196.551807049,26179537.865858458,-132796688.084037334,-57569075.287316784
2026-01-01T01:35:00Z,2461041.565972222,34,2026-01-01T03:37:34Z,-0.085124128,41158.010383975,-9148.149407077,0.392562798,0.667290213,3.001578367,-0.000065520,41103.992103223,-9387.308460162,-103.583529641,-41103.992103223,9387.308460162,103.583529641,97410.995701095,301164.355759003,161246.575368397,26188257.610373605,-132796091.258149266,-57568427.198681690
2026-01-01T01:40:00Z,2461041.569444444,34,2026-01-01T03:37:34Z,-0.081651906,41348.330796107,-8245.561069915,0.378435878,0.601468163,3.015454765,-0.000066962,41299.556652439,-8485.842089614,-104.122367276,-41299.556652439,8485.842089614,104.122367276,96911.940592180,300373.656027033,161296.426069681,26196996.928767972,-132795498.429744914,-57567778.944660805
