utc,julian_date_ut,goes18_ra_deg,goes18_dec_deg,earth_distance_km,moon_distance_km,sun_distance_km,earth_moon_separation_deg,earth_sun_separation_deg,moon_sun_separation_deg,earth_apparent_radius_deg,earth_exclusion_radius_deg,moon_apparent_radius_deg,moon_exclusion_radius_deg,sun_apparent_radius_deg,sun_exclusion_radius_deg,earth_moon_cap_overlap_sr,earth_sun_cap_overlap_sr,moon_sun_cap_overlap_sr,earth_moon_sun_triple_overlap_sr,total_excluded_sky_sr,visible_sky_fraction,visible_sky_percent
2026-08-26T11:20:00Z,2461278.972222222,7.385044877697,-0.135009070626,42165.838937,373008.281338,151210040.364475,121.141900116,33.955510532,154.927356914,8.690335077,28.690335077,0.266873558,20.000000000,0.263612220,45.000000000,0.000000000000,0.527475747756,0.000000000000,0.000000000000,2.463153579757,0.803988466094,80.398846609
2026-08-26T11:25:00Z,2461278.975694444,8.638361017204,-0.133842030567,42165.844802,373702.645264,151209430.666527,119.963758174,35.141282618,154.908501690,8.690333859,28.690333859,0.266377686,20.000000000,0.263613283,45.000000000,0.000000000000,0.507638039896,0.000000000000,0.000000000000,2.482991223488,0.802409836564,80.240983656
2026-08-26T11:30:00Z,2461278.979166667,9.891676942704,-0.132633431116,42165.849776,374407.319467,151208804.552925,118.784861044,36.330819924,154.892219266,8.690332826,28.690332826,0.265876332,20.000000000,0.263614375,45.000000000,0.000000000000,0.487708343514,0.000000000000,0.000000000000,2.502920865488,0.800823886045,80.082388604
2026-08-26T11:35:00Z,2461278.982638889,11.144992716513,-0.131385517279,42165.853855,375121.927441,151208162.267054,117.605438749,37.523759196,154.878527103,8.690331978,28.690331978,0.265369833,20.000000000,0.263615494,45.000000000,0.000000000000,0.467722558770,0.000000000000,0.000000000000,2.522906605628,0.799233471378,79.923347138
2026-08-26T11:40:00Z,2461278.986111111,12.398308403119,-0.130100457384,42165.857038,375846.089689,151207504.059976,116.425704524,38.719780758,154.867440950,8.690331317,28.690331317,0.264858527,20.000000000,0.263616642,45.000000000,0.000000000000,0.447713907783,0.000000000000,0.000000000000,2.542915221809,0.797641236293,79.764123629
2026-08-26T11:45:00Z,2461278.989583333,13.651624065107,-0.128780336035,42165.859324,376579.423996,151206830.190321,115.245856186,39.918602251,154.858974863,8.690330843,28.690330843,0.264342750,20.000000000,0.263617817,45.000000000,0.000000000000,0.427713429844,0.000000000000,0.000000000000,2.562915674755,0.796049650818,79.604965082
2026-08-26T11:50:00Z,2461278.993055556,14.904939767034,-0.127427147498,42165.860712,377321.545692,151206140.924156,114.066077365,41.119973407,154.853141218,8.690330554,28.690330554,0.263822833,20.000000000,0.263619018,45.000000000,0.000000000000,0.407750405477,0.000000000000,0.000000000000,2.582878683950,0.794461045021,79.446104502
2026-08-26T11:55:00Z,2461278.996527778,16.158255571352,-0.126042789520,42165.861201,378072.067918,151205436.534862,112.886538625,42.323671649,154.849950743,8.690330453,28.690330453,0.263299107,20.000000000,0.263620246,45.000000000,0.000000000000,0.387852724776,0.000000000000,0.000000000000,2.602776359303,0.792877638327,79.287763833
2026-08-26T12:00:00Z,2461279.000000000,17.411571542286,-0.124629057616,42165.860792,378830.601888,151204717.303001,111.707398476,43.529498393,154.849412527,8.690330538,28.690330538,0.262771898,20.000000000,0.263621500,45.000000000,0.000000000000,0.368047212068,0.000000000000,0.000000000000,2.622581876481,0.791301565347,79.130156535
2026-08-26T12:05:00Z,2461279.003472222,18.664887741748,-0.123187639853,42165.859486,379596.757135,151203983.516187,110.528804295,44.737275905,154.851534057,8.690330809,28.690330809,0.262241531,20.000000000,0.263622780,45.000000000,0.000000000000,0.348359917956,0.000000000000,0.000000000000,2.642269184869,0.789734899124,78.973489912
2026-08-26T12:10:00Z,2461279.006944444,19.918204233222,-0.121720112126,42165.857285,380370.141770,151203235.468943,109.350893163,45.946844641,154.856321233,8.690331266,28.690331266,0.261708327,20.000000000,0.263624084,45.000000000,0.000000000000,0.328816386279,0.000000000000,0.000000000000,2.661812740611,0.788179672373,78.817967237
2026-08-26T12:15:00Z,2461279.010416667,21.171521077679,-0.120227933972,42165.854192,381150.362720,151202473.462565,108.173792627,47.158060964,154.863778401,8.690331908,28.690331908,0.261172602,20.000000000,0.263625413,45.000000000,0.000000000000,0.309441886364,0.000000000000,0.000000000000,2.681187274352,0.786637895966,78.663789597
2026-08-26T12:20:00Z,2461279.013888889,22.424838337463,-0.118712444912,42165.850208,381937.025973,151201697.804978,106.997621400,48.370795205,154.873908376,8.690332736,28.690332736,0.260634670,20.000000000,0.263626765,45.000000000,0.000000000000,0.290261683839,0.000000000000,0.000000000000,2.700367520433,0.785111580479,78.511158048
2026-08-26T12:25:00Z,2461279.017361111,23.678156072209,-0.117174861356,42165.845339,382729.736810,151200908.810590,105.822489999,49.584929980,154.886712473,8.690333747,28.690333747,0.260094839,20.000000000,0.263628141,45.000000000,0.000000000000,0.271301252240,0.000000000000,0.000000000000,2.719328005280,0.783602753036,78.360275304
2026-08-26T12:30:00Z,2461279.020833333,24.931474342733,-0.115616274060,42165.839587,383528.100035,151200106.800139,104.648501331,50.800358755,154.902190540,8.690334942,28.690334942,0.259553414,20.000000000,0.263629539,45.000000000,0.000000000000,0.252586514710,0.000000000000,0.000000000000,2.738042805702,0.782113476538,78.211347654
2026-08-26T12:35:00Z,2461279.024305556,26.184793206956,-0.114037646169,42165.832958,384331.720199,151199292.100546,103.475751235,52.016984586,154.920340979,8.690336319,28.690336319,0.259010696,20.000000000,0.263630960,45.000000000,0.000000000000,0.234144090684,0.000000000000,0.000000000000,2.756485302212,0.780645869296,78.064586930
2026-08-26T12:40:00Z,2461279.027777778,27.438112723304,-0.112439811825,42165.825457,385140.201820,151198465.044757,102.304328976,53.234719045,154.941160787,8.690337877,28.690337877,0.258466980,20.000000000,0.263632402,45.000000000,0.000000000000,0.216001559641,0.000000000000,0.000000000000,2.774627915274,0.779202126022,77.920212602
2026-08-26T12:45:00Z,2461279.031250000,28.691432949127,-0.110823475370,42165.817090,385953.149596,151197625.971583,101.134317707,54.453481267,154.964645581,8.690339614,28.690339614,0.257922558,20.000000000,0.263633865,45.000000000,0.000000000000,0.198187751584,0.000000000000,0.000000000000,2.792441814816,0.777784540938,77.778454094
2026-08-26T12:50:00Z,2461279.034722222,29.944753939126,-0.109189211129,42165.807864,386770.168611,151196775.225543,99.965794895,55.673197130,154.990789633,8.690341531,28.690341531,0.257377715,20.000000000,0.263635348,45.000000000,0.000000000000,0.180733075789,0.000000000000,0.000000000000,2.809896591493,0.776395533943,77.639553394
2026-08-26T12:55:00Z,2461279.038194444,31.198071970203,-0.107523997556,42165.797838,387590.865057,151195913.157221,98.798831974,56.893797733,155.019585557,8.690343613,28.690343613,0.256832732,20.000000000,0.263636851,45.000000000,0.000000000000,0.163669913617,0.000000000000,0.000000000000,2.826959863290,0.775037681917,77.503768192
2026-08-26T13:00:00Z,2461279.041666667,32.451394022745,-0.105806415820,42165.787105,388414.855160,151195040.115087,97.633482608,58.115231605,155.051024369,8.690345842,28.690345842,0.256287879,20.000000000,0.263638374,45.000000000,0.000000000000,0.147032900105,0.000000000000,0.000000000000,2.843596994154,0.773713741110,77.371374111
2026-08-26T13:05:00Z,2461279.045138889,33.704716512042,-0.104037061173,42165.775674,389241.743703,151194156.462000,96.469813359,59.337436940,155.085096572,8.690348216,28.690348216,0.255743428,20.000000000,0.263639914,45.000000000,0.000000000000,0.130859860066,0.000000000000,0.000000000000,2.859770159185,0.772426721529,77.242672153
2026-08-26T13:10:00Z,2461279.048611111,34.958039465091,-0.102216875002,42165.763551,390071.139007,151193262.563776,95.307883165,60.560359726,155.121791428,8.690350734,28.690350734,0.255199646,20.000000000,0.263641473,45.000000000,0.000000000000,0.115192243074,0.000000000000,0.000000000000,2.875437908738,0.771179921635,77.117992164
2026-08-26T13:15:00Z,2461279.052083333,36.211362911044,-0.100346827952,42165.750742,390902.650706,151192358.791111,94.147747016,61.783949855,155.161097022,8.690353394,28.690353394,0.254656792,20.000000000,0.263643049,45.000000000,0.000000000000,0.100076073931,0.000000000000,0.000000000000,2.890554217941,0.769977003970,76.997700397
2026-08-26T13:20:00Z,2461279.055555556,37.464686877336,-0.098427918892,42165.737253,391735.889922,151191445.519412,92.989456246,63.008160726,155.203000294,8.690356196,28.690356196,0.254115123,20.000000000,0.263644642,45.000000000,0.000000000000,0.085563149575,0.000000000000,0.000000000000,2.905067289793,0.768822090407,76.882209041
2026-08-26T13:25:00Z,2461279.059027778,38.718011393764,-0.096461173842,42165.723089,392570.469438,151190523.128609,91.833058795,64.232948906,155.247487075,8.690359138,28.690359138,0.253574887,20.000000000,0.263646250,45.000000000,0.000000000000,0.071712680948,0.000000000000,0.000000000000,2.918917913286,0.767719892811,76.771989281
2026-08-26T13:30:00Z,2461279.062500000,39.971336488602,-0.094447644870,42165.708257,393406.003861,151189592.002984,90.678599470,65.458273810,155.294542117,8.690362218,28.690362218,0.253036329,20.000000000,0.263647874,45.000000000,0.000000000000,0.058593633635,0.000000000000,0.000000000000,2.932037122776,0.766675899291,76.667589929
